index,name,latitude,longitude,Humidity,Temperature_avg,Temperature_min,Temperature_max,Temperature_perceived,Wind_speed,Cloudiness,Precipitation_prob
0,Mont Saint Michel,48.6359541,-1.511459954959514,70,15.73,13.31,16.48,15.19,8.95,100,100
1,St Malo,48.649518,-2.0260409,58,15.32,14.19,16.86,14.42,10.75,100,100
2,Bayeux,49.2764624,-0.7024738,50,15.77,11.27,16.14,14.71,9.43,100,100
3,Le Havre,49.4938975,0.1079732,57,15.22,14.5,17.02,14.29,12.81,80,100
4,Rouen,49.4404591,1.0939658,60,15.35,10.19,16.09,14.51,8.73,78,100
5,Paris,48.8588897,2.3200410217200766,61,15.15,13.57,16.86,14.31,6.61,80,100
6,Amiens,49.8941708,2.2956951,54,14.93,8.83,15.35,13.89,9.2,96,100
7,Lille,50.6365654,3.0635282,49,15.37,9.86,15.5,14.24,7.9,65,100
8,Strasbourg,48.584614,7.7507127,93,13.69,9.21,14.25,13.54,6.39,100,100
9,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,92,11.42,5.33,11.6,11.02,3.52,100,100
10,Colmar,48.0777517,7.3579641,83,14.9,8.11,15.24,14.61,4.14,100,100
11,Eguisheim,48.0447968,7.3079618,84,14.9,7.93,15.33,14.64,4.15,100,100
12,Besancon,47.2380222,6.0243622,96,13.26,8.42,13.48,13.15,5.83,100,100
13,Dijon,47.3215806,5.0414701,93,14.4,9.05,14.7,14.32,6.62,100,100
14,Annecy,45.8992348,6.1288847,82,14.99,8.45,15.44,14.69,2.29,100,100
15,Grenoble,45.1875602,5.7357819,74,18.88,9.81,18.88,18.76,1.91,100,100
16,Lyon,45.7578137,4.8320114,67,17.49,12.02,18.23,17.04,4.01,80,100
17,Gorges du Verdon,43.7496562,6.3285616,34,20.75,11.46,20.95,19.77,5.95,10,0
18,Bormes les Mimosas,43.1506968,6.3419285,35,25.14,16.45,25.37,24.62,10.39,7,0
19,Cassis,43.2140359,5.5396318,45,22.48,17.44,22.96,21.96,12.86,35,0
20,Marseille,43.2961743,5.3699525,47,23.03,18.23,23.84,22.62,13.0,23,0
21,Aix en Provence,43.5298424,5.4474738,47,22.0,14.87,22.23,21.48,9.93,24,0
22,Avignon,43.9492493,4.8059012,48,22.62,15.04,23.18,22.19,9.34,14,87
23,Uzes,44.0121279,4.4196718,45,22.14,12.18,22.14,21.58,7.09,100,33
24,Nimes,43.8374249,4.3600687,45,22.63,13.86,22.73,22.12,7.82,33,21
25,Aigues Mortes,43.5661521,4.19154,47,22.81,16.76,22.98,22.37,10.36,11,0
26,Saintes Maries de la mer,43.4515922,4.4277202,51,22.61,16.74,23.07,22.26,9.76,52,0
27,Collioure,42.52505,3.0831554,39,25.79,15.59,26.21,25.44,7.27,16,0
28,Carcassonne,43.2130358,2.3491069,52,21.8,13.09,22.63,21.39,8.97,79,100
29,Ariege,42.9455368,1.4065544156065486,49,15.75,7.03,16.53,14.66,3.55,66,100
30,Toulouse,43.6044622,1.4442469,63,19.78,12.43,20.64,19.46,8.33,80,100
31,Montauban,44.0175835,1.3549991,65,19.96,11.28,20.32,19.71,7.8,100,100
32,Biarritz,43.4832523,-1.5592776,82,18.7,17.44,18.94,18.77,9.05,100,100
33,Bayonne,43.4945144,-1.4736657,82,18.61,16.8,18.61,18.67,7.43,100,100
34,La Rochelle,46.1591126,-1.1520434,78,17.14,15.62,17.98,16.95,9.71,0,100
